OGC_FID,OSM_ID,OSM_WAY_ID,NAME,TYPE,AEROWAY,AMENITY,ADMIN_LEVE,BARRIER,BOUNDARY,BUILDING,CRAFT,GEOLOGICAL,HISTORIC,LAND_AREA,LANDUSE,LEISURE,MAN_MADE,MILITARY,NATURAL,OFFICE,PLACE,SHOP,SPORT,TOURISM,OTHER_TAGS
1,,45019553,Hillary Hospital,,,hospital,,,,yes,,,,,,,,,,,,,,,
2,,112117062,National Trauma Center,,,hospital,,,,health_facility,,,,,,,,,,,,,,,"""emergency""=>""yes"", ""building:use""=>""Health_Facility"", ""building:level""=>""5"", ""building:typology""=>""Reinforced_Concrete_Frame"", ""building:roof_type""=>""Flat"", ""building:floor_type""=>""concrete"""
3,,120435385,Tilganga Institute of Opthalmology,,,hospital,,,,hospital,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""multiprojected"", ""start_date""=>""1990-2000"", ""column:size""=>""12x12"", ""facility:icu""=>""no"", ""operator:type""=>""government"", ""roof:material""=>""concrete"", ""building:bay:x""=>""4"", ""building:bay:y""=>""2"", ""bu"
4,,120634698,Hariyo Kharka Hospital,,,hospital,,,,yes,,,,,,,,,,,,,,,"""surface""=>""paved"", ""contact:website""=>""http://www.inf.org/"""
5,,169429521,Gyarisan Gad Army Medical,,,doctors,,,,yes,,,,,,,,,,,,,,,
6,,179243141,Ayurvedic Hospital,,,hospital,,,,yes,,,,,,,,,,,,,,,"""operator""=>""Tribhuwan University"""
7,,179243142,Ayurvedic Teaching Hospital (OPD),,,hospital,,,,yes,,,,,,,,,,,,,,,"""operator""=>""Tribhuwan University"""
8,,180082316,Basundhara Polyclinic,,,clinic,,,,hospital,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""2000-2013"", ""column:size""=>""9x9"", ""facility:icu""=>""no"", ""occupant:day""=>""12"", ""capacity:beds""=>""0"", ""operator:type""=>""private"", ""roof:material""=>""concrete"", ""building:bay"
9,,181032115,Biraj Dental Hospital,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""Biraj Dental Hospital"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""2000-2013"", ""column:size""=>""9x9"", ""facility:icu""=>""no"", ""occupant:day""=>""6"", ""capacity:beds""=>""0"", ""operator:type""=>""priv"
10,,181427346,ManMohan Cardiothoracic Vascular & Transplant Center,,,hospital,,,,yes,,,,,,,,,,,,,,,
