"hf_type","dist_name","vdc_name1","vdc_code1","latitude","longitude"
"DPHO","Udayapur","TriyugaN.P.","E-SAG-14-043",26.80942427619193,86.70194886049741
"Hospital","Udayapur","TriyugaN.P.","E-SAG-14-043",26.813294140284153,86.65313349934853
"Primary Health Center","Udayapur","Beltar","E-SAG-14-007",26.81106036455254,86.8872584521162
"Health Post","Udayapur","Yayankhu","E-SAG-14-045",27.13209419286327,86.34755962105417
"Health Post","Udayapur","Rupatar","E-SAG-14-031",27.09240986661682,86.56135395820776
"Health Post","Udayapur","Lekhgau","E-SAG-14-022",27.061159016154832,86.53478724233388
"Health Post","Udayapur","Balamta","E-SAG-14-002",27.088581955162102,86.68323734133796
"Health Post","Udayapur","Bhuttar","E-SAG-14-008",27.016879754485924,86.67415929020349
"Health Post","Udayapur","Pachchawati","E-SAG-14-027",26.95925791811476,86.50738301669799
"Health Post","Udayapur","TriyugaN.P.","E-SAG-14-043",26.77895797204982,86.66673886549995
"Health Post","Udayapur","Rauta","E-SAG-14-029",26.943070612946233,86.65350686817033
"Health Post","Udayapur","Thoksila","E-SAG-14-041",26.807399245639864,87.01862291448616
"Sub Health Post","Udayapur","Katari","E-SAG-14-017",26.98560490927409,86.39710386332673
"Sub Health Post","Udayapur","Risku","E-SAG-14-030",26.971863936201437,86.44382800697778
"Sub Health Post","Udayapur","Tawashree","E-SAG-14-039",27.025748957241838,86.48134606539514
"Sub Health Post","Udayapur","Okhale","E-SAG-14-026",27.079530238764303,86.49221673877527
"Sub Health Post","Udayapur","Limpatar","E-SAG-14-023",27.063516688673754,86.46783269916547
"Sub Health Post","Udayapur","Sirise","E-SAG-14-035",27.055416100177556,86.43230095449856
"Sub Health Post","Udayapur","ShorungChabise","E-SAG-14-033",27.11313685215945,86.43200996610439
"Sub Health Post","Udayapur","Lekhani","E-SAG-14-021",27.14883374048599,86.40068010249172
"Sub Health Post","Udayapur","Thanagau","E-SAG-14-040",27.13162667806922,86.56348302358104
"Sub Health Post","Udayapur","Basabote","E-SAG-14-005",27.138280805474594,86.5855458491816
"Sub Health Post","Udayapur","Tamlida","E-SAG-14-037",27.12159151665377,86.63795807012505
"Sub Health Post","Udayapur","Baraha","E-SAG-14-003",27.10976950819694,86.59710141695474
"Sub Health Post","Udayapur","Iname","E-SAG-14-013",27.062144650032888,86.58010326357439
"Sub Health Post","Udayapur","Barai","E-SAG-14-004",27.015971248127855,86.55984474282663
"Sub Health Post","Udayapur","Nametar","E-SAG-14-025",27.033720089045953,86.62271079372918
"Sub Health Post","Udayapur","Dumre","E-SAG-14-010",26.975755633935442,86.57307198585578
"Sub Health Post","Udayapur","Jante","E-SAG-14-015",27.063160929662008,86.68965204727073
"Sub Health Post","Udayapur","Laphagau","E-SAG-14-020",27.04710711326844,86.71258463565802
"Sub Health Post","Udayapur","Pokhari","E-SAG-14-028",26.987779137621462,86.6931271983573
"Sub Health Post","Udayapur","Valayadanda","E-SAG-14-044",26.95238241208116,86.58949515533185
